sentiment;content
1;I find myself very competent to get this post
1;i'm good
1;Believe in yourself.
1;friendly and peaceful
1; Work hard
0;i'm shy and not at that much good with talking with people
0;i feel sleepy
0;exhausted so much
1;happiness
0;sadly i can't deal with that
0;cant fall asleep
0;Choked on her retainers
0; I have to beat this stupid song to get to the next  rude!
1;I have a good experience on the computer field
1;Got the news
1;Push yourself, because no one else is going to do it for you.
1; Work in a team is the keys to succeed 
0;So sleepy again and it's not even that late. I fail once again.
1;being impressed by her video leaking just so you know
1;Step outside your comfort zone. off...damn I think I just lost another frie
0;too bad! I hope it gets better. I've been having sleep issues lately too
0;Wondering why I'm awake at 7am,working for nothing
1;i have experience in team working , clubs, companies and others 
0;i'm not at that much interested with that post
1;Don’t give up.
1;Success doesn’t just find you. You have to go out and get it.
0;  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so
1;Set big goals
0;irresponsible 
0;I HATE being controlled. I HATE IT I HATE IT I HATE IT.
0;It is so annoying when she starts typing on her computer in the middle of the night!
0; i cant work too much 
0;I missed out
1;feels strong contractions 
1;Follow through.
1;Don’t stop when you’re tired. Stop when you’re done.
1; i feel all funny cause i haven't slept enough  i woke up early and start working  
0;I need skott right now
1;has work this afternoon
0;nothing 
1;Hard work is the most important key to success
1;success and working so hard it's such perfect thing
1;Without being willing to work hard and put everything into a venture, business success is nearly impossible
1;No matter what industry you work in, hard work and team spirit is the recipe for a burgeoning and successful business
1; as every business owner, manager and entrepreneur will tell you, some days are significantly more productive than others.
0;Bed!!!!!... its time,..... hope i go to school tomorrow, all though i don't feel very well right now
0;Well, I was hoping that I could learn some stuff on the way. ... Why not you and I work on separate
0;I'm having a problem with working for long time
1;I’m a great believer in luck, and I find the harder I work, the more I have of it
1;No matter how hard you work, someone else is working harder
1;technologies are my favourite
0;i'm bad in that
1;Hard work beats talent if talent doesn’t work hard
1;Satisfaction lies in the effort, not in the attainment
1;We think, mistakenly, that success is the result of the amount of time we put in at work, instead of the quality of time we put in
1;Work hard, have fun, make history.
1;The only place where success comes before work is in the dictionary.
0;what the fuck 
0;are you making jokes
0; Onward and upwards now, yay! Still sad to leave I bet.
1;I never took a day off in my 20s.
1; That'd be awesome.
0;I want to buy this great album but unfortunately i dont hav enuff funds  its &quot
1;Without labor, nothing prospers
0;At home alone with not much to do
1;There are no secrets to success. It is the result of preparation, hard work, and learning from failure.
1;Great teamwork is the only way we create the breakthroughs that define our careers.
1;Teamwork is the ability to work together toward a common vision. The ability to direct individual accomplishments toward organizational objectives. It is the fuel that allows common people to attain uncommon results
1;The price of success is hard work, dedication to the job at hand, and the determination that whether we win or lose, we have applied the best of ourselves to the task at hand.
1;The best teamwork comes from men who are working independently toward one goal in unison
1;In the end, all business operation can be reduced to three words: people, products, and profits. Unless you’ve got a good team, you can’t do much with the other two
1;Nothing is particularly hard if you divide it into small jobs.
1;If you love your work, you’ll be out there every day trying to do it the best you possibly can, and pretty soon everybody around will catch the passion from you – like a fever
1;The way a team plays as a whole determines its success. You may have the greatest bunch of individual stars in the world, but if they don’t play together, the club won’t be worth a dimemonths. Never wash my cats at home again,
1;I know the price of success: dedication, hard work and an unremitting devotion to the things you want to see happen.
1;Doing the best at this moment puts you in the best place for the next moment.
1;"What is success? I think it is a mixture of having a flair for the thing that you are doing; knowing that it is not enough, that you have got to have hard work and a certain sense of purpose"
1;I have learned that success is to be measured not so much by the position that one has reached in life as by the obstacles which he has had to overcome while trying to succeed
1;I think that my biggest attribute to any success that I have had is hard work. There really is no substitute for working hard.
1;If you are willing to work hard and ask lots of questions, you can learn business pretty fast
1;i was just thinking about how excited i am for you guys to move,
1;The three great essentials to achieve anything worth while are: Hard work, stick-to-itiveness, and common sense
1;It’s not about money or connection — it’s the willingness to outwork and outlearn everyone
0;She is frequently late to work.
0;She responds to communication outside of the expected time frame
0;i am jealous of your manager talking to him
0;She often runs behind schedule which negatively impacts the flow of the workday.
0;She is rarely on time.
0;Her frequent absences are impacting reliability.
0;She needs to improve her time management skills.
0;She does not respect others’ time and responsibilities.
0;work at 6am. Gotta go to bed soon
1;correct! I ADORE him. I just plucked him up and put him under my arm cuz he was cryin.  All better now! Haha
0;hiii im on my ipod...i cant fall asleep
0;dont wanna work 11-830 tomorrow  but i get paid
0;feels sad coz i wasnt able to play with the guys!!!  http://plurk.com/p/wxiux
1;Your limitation—it’s only your imagination.
0;She uses derogatory language when communicating with co-workers
0;summer SUCKS
0;She communicates condescendingly when asked for assistance.
0;She needs to improve written and verbal communication.
0;Darn these allergies! I don't like this time of year because of this! I never used to have this problem either
0;Oh no one minute too late! Oh well
0; Damn, that sucks
0;Frequent meetings have not proven to be an effective way to communicate with their employees.
0;She fails to alert proper personnel regarding essential issues.
0;She does not voice opinions or ideas during team meetings.
0;Her message is frequently misunderstood due to lack of proper communication skills.back..and occasionally she likes to be
0;She excels when working individually, but struggles to complete group tasks and projects.
0;She fails to be an effective team member.
0;i'm so tired
0;annoying
1;I'm sure some1 will cum out and play. I'm workin through til midnight.
0;She does not offer assistance to others in the office.
0;he does not demonstrate the desire to work in a team environment.
0;he avoids working with others when possible.
0;I'm feel deflated. Ugh. No more dog.
0;Allergies suck ducks nuts.     &lt
0;She fails to share important project-related information with the team.
0; he is unwilling to ask for help when needed.Time to ask for a refund...
0; She does not communicate with other employees.
0;that's not peaceful and messy
0;She appears to be distant and standoffish.
0;Poor communication leads to ineffective team meetings.celebrate my weekend vaca. Stil
0;She struggles to develop professional relationships.
0;She fails to differentiate between personal and professional relationships.
0;She demonstrates unprofessional behavior while on work grounds.Amsterdam today and get a new one
0;She displays prejudices that interfere with maintaining a positive work environment.
0;She fails to engage in professional development opportunities.vacation.
0;*sigh* I'm going to bed... I just don't feel right anymore...
0;She fails to attempt to improve job performance.
0;She does not ensure work meets performance standards
0;Now I am depressed after watching so you think you can dance
0;She does not perform the required duties.
0;She violates the company’s code of conduct and/or code of ethics.
0;Her personal problems are negatively impacting job performance.
0;I cant sleep, but im too sore to move
0;She will benefit from leadership training to improve this skill.
0;She struggles to accept constructive criticism
0;She does not lead by example.
1;Achieving a new appreciation on how a xml build script can really be painful and cumbersome
0;She is encouraged to attempt to develop solutions before asking for help.
0; i cant do anything
0;Her mannerisms don’t encourage the team to feel comfortable communicating openly.
0;Her inconsistent guidance is confusing to employees.
0;She fails to communicate rules, procedures, and messages to subordinates properly.
0;Morning tweeple,way to early again
0;She fails to provide staff with positive feedback or acknowledgment of a job well done.
0;She is unable to make on the spot decisions when they are required.
0;She micromanages staff.
0;She is not open to new ideas and perspectives.
0;She discourages creative solutions.
0;She rarely generates new ideas.
0;She is not willing to accept change.
0;She will benefit from being more resourceful.
0;She discourages taking risks.
0;Being more flexible would be beneficial to the company.
0;he is unwilling to adapt to new situations and circumstances.
0;She has creative ideas but is unable to bring them to life.
0;She overlooks employees with innovative ideas.
0;She violates the company ethics policy when communicating with customers.
0;She sticks to a rigid script when communicating with customers.
0;Her average call time is too long. She needs to deal with customer issues more efficiently to reduce call time.
0;She needs to improve customer support on the phone.
0;She needs to improve face to face customer support.
0;She should improve her listening skills when communicating with customers.
0;boring. 
0;She is hesitant to address difficult customer situations
0;She becomes regularly frustrated by customers
0;She does not take advantage of opportunities to educate customers about additional products and/or services
0;She should learn to manage time more effectively.take this. -chan is displeased.
0;She does not complete assignments promptly. 
0;She frequently misses project deadlines.
0;She spends too much time on tasks not related to work during the day.
0;She would benefit from time management training.Everytime i do one, i feel like making mu
0;She needs too much time to complete tasks.
0;She would benefit from developing a plan for each day to be more productive
0;Her inability to meet deadlines negatively impacts the team and the company.
0;She is unaware of how time management deficiencies impact team members.
0;She continues to miss deadlines despite frequent reminders.BEST dresses, i want them but i dont have
0;She lacks the knowledge to complete job duties.them.
0;She is not as knowledgeable about job-related tasks as expected
0;She submits sub-par work due to lack of job-related skills
0;She frequently seeks support and assistance from team members due to lack of job-related skills
0;She does not retain the information necessary to perform job duties properly.
0;She is unable to perform under office conditions.
0;She requires constant supervision due to lack of job-related knowledge.
0;She lacks the basic understanding of job-related functions.
0;Too bad the Red Devils.. disappointing to say the least
1;I had a dream about a pretty pretty beach and there was no beach when I woke up
0;She will benefit from professional development to improve skill set.
0;She will benefit from additional on the job training to improve performance.
0;Writing performance reviews probably isn’t the aspect of your job that you look forward to the most
0;Someone who is confused and left a review for the wrong practice. 
0;An angry former employee. 
0;A competitor who is playing dirty.
1;Honest Response
1;Free-Spoken Response
1;Sincere Response
1;Professional Response
0;Timothy works the appropriate schedule, but his “off-site breaks” affects co-workers as he is frequently late returning from break.pleasant experience to receive a negative review from a customer.
0;One of the most common responses to criticism of any kind is to become defensive, to want to push back and explain that you (in your opinion) have done nothing wrong
0; This is quite a natural response as our brains are wired to react to negative feedback as a kind of threat, so we naturally want to spring to our own defence.
0;.pleasant experience to receive a negative review from a customer.
0;Holly is a very good with punctuality, but her staff is not. She needs to better manage the team to company-required schedules.
0;Frankly, Peter has a ghastly view of on-time attendance. I do not remember a day when he has shown up on time, ready to work.
0;Bill’s shoddy attendance record must improve in the next 90 days or he will be terminated under the company’s attendance policy.
0;Ben is such a quality worker, but unfortunately his punctuality is abysmal. This one area is dragging down Ben’s review and must be improved.
0;Jennifer often runs behind schedule throughout a typical work day causing meetings to start late which affects others’ schedules. She needs to get her schedule in order to help her coworkers.
0;Ryan is often tardy for work and despite repeated warnings, does not respect the attendance policy.
0;For most of the year, Jim has had excellent attendance. Over the last several months, he is frequently absent or late for work. Jim should improve his reliability.
0;For the most part, Paul has been good with his schedule. However, during the summer months, Paul frequently leaves early or takes a half day of unscheduled time off on Friday. This provides a bad impression for his coworkers and employees.For all of us.
1;Bill is quick to congratulate coworkers and builds an atmosphere of trust with his team.
1;Ken’s attitude is an asset to his management skills. He continually builds people up, deals with difficult situations with incredible posture, and focuses on the positives.
1;With the incredible pressure we have been feeling as a company, it would be easy for Tim to get down, but he stands firm that the situation won’t affect his attitude. Tim has a mind-set that few people do and we appreciate that about him.
1;Penny’s internal bearing is always right on with a focus on the right attitude.
1;Bill has a cheerful attitude which makes others feel good when he’s around.
1;Julia accentuates the positive in most situations.
1;One of the difficult things a new manager must learn is how to emphasize the right things and downplay the other things. Brenda keeps a steady, positive attitude that helps her employees know everything is ok – even when it seemingly isn’t ok!suggestions? I liked Twittle but no li
1;Holly has one of those attitudes that is always positive. She frequently has a smile on her face and you can tell she enjoys her job.
1;Greg is a cheerful guy who always makes you feel delighted when you’re around him. We are fortunate to have Greg on our team.
